,name,full_name,clone_url,forks,watchers,open_issues,size,n_branches,len_description,owner,framework
70,onlineShop-Vue,olesyakostina/onlineShop-Vue,https://github.com/olesyakostina/onlineShop-Vue.git,1,0,0,213,2,0,olesyakostina,vue
71,OnlineShop-Vue,Svet-lana93/OnlineShop-Vue,https://github.com/Svet-lana93/OnlineShop-Vue.git,0,0,0,23,2,0,Svet-lana93,vue
72,goods_shop,EvanZhangLi/goods_shop,https://github.com/EvanZhangLi/goods_shop.git,2,2,0,5824,2,299,EvanZhangLi,vue
73,VUE-OnlineShop,liuxiaoyu-LXY/VUE-OnlineShop,https://github.com/liuxiaoyu-LXY/VUE-OnlineShop.git,1,0,0,24151,2,33,liuxiaoyu-LXY,vue
74,onlineShoppingCart-Vue,theSLWayne/onlineShoppingCart-Vue,https://github.com/theSLWayne/onlineShoppingCart-Vue.git,1,0,0,59,2,46,theSLWayne,vue
75,onlinerShop-vue,hubr33/onlinerShop-vue,https://github.com/hubr33/onlinerShop-vue.git,1,0,0,133,2,0,hubr33,vue
76,OnlineVueShop,SantiRey/OnlineVueShop,https://github.com/SantiRey/OnlineVueShop.git,1,0,0,5938,2,0,SantiRey,vue
77,VueJsForVkontakteShop,LaMileyn/VueJsForVkontakteShop,https://github.com/LaMileyn/VueJsForVkontakteShop.git,1,0,0,210,2,34,LaMileyn,vue
78,ItalaShop,JHONNY25/ItalaShop,https://github.com/JHONNY25/ItalaShop.git,1,0,0,11704,2,44,JHONNY25,vue
79,Online-Shop,White11010/Online-Shop,https://github.com/White11010/Online-Shop.git,1,1,0,2022,2,10,White11010,vue
80,online_shop,dimores28/online_shop,https://github.com/dimores28/online_shop.git,1,0,0,385,2,16,dimores28,vue
81,VueOnlineShop,TigranMnjoyan96/VueOnlineShop,https://github.com/TigranMnjoyan96/VueOnlineShop.git,1,0,20,8060,2,0,TigranMnjoyan96,vue
82,vue3-online-shop,MonaLizaOverdrivee/vue3-online-shop,https://github.com/MonaLizaOverdrivee/vue3-online-shop.git,1,1,0,621,2,0,MonaLizaOverdrivee,vue
83,VueOnlineShop,xmenw/VueOnlineShop,https://github.com/xmenw/VueOnlineShop.git,2,1,21,5772,2,0,xmenw,vue
84,online_shop_vueJs,francoisblin/online_shop_vueJs,https://github.com/francoisblin/online_shop_vueJs.git,1,1,1,474,2,0,francoisblin,vue
85,VueOnlineShopping,haloleo/VueOnlineShopping,https://github.com/haloleo/VueOnlineShopping.git,1,0,0,204,2,68,haloleo,vue
86,VueOnlineShop,lorymore/VueOnlineShop,https://github.com/lorymore/VueOnlineShop.git,1,0,0,225,2,0,lorymore,vue
87,vueOnlineShop,mrgugalev/vueOnlineShop,https://github.com/mrgugalev/vueOnlineShop.git,1,0,2,525,2,0,mrgugalev,vue
88,shop-online-vue3,qiaoliang/shop-online-vue3,https://github.com/qiaoliang/shop-online-vue3.git,1,0,0,2354,2,0,qiaoliang,vue
89,vue3-online-shop,Gvenvivar25/vue3-online-shop,https://github.com/Gvenvivar25/vue3-online-shop.git,1,0,0,217,2,0,Gvenvivar25,vue
90,Vue3-online-shop,ultramarichka/Vue3-online-shop,https://github.com/ultramarichka/Vue3-online-shop.git,1,0,0,257,2,68,ultramarichka,vue
91,VueOnlineShop,kirigaikabuto/VueOnlineShop,https://github.com/kirigaikabuto/VueOnlineShop.git,1,0,11,1070,2,0,kirigaikabuto,vue
92,dev-bokhtiar-vuejs-kb-online-medicine-shop,Bokhtiar/dev-bokhtiar-vuejs-kb-online-medicine-shop,https://github.com/Bokhtiar/dev-bokhtiar-vuejs-kb-online-medicine-shop.git,0,0,0,617,2,12,Bokhtiar,vue
93,OnlineShoppingMall,Mxuan-831home/OnlineShoppingMall,https://github.com/Mxuan-831home/OnlineShoppingMall.git,1,0,1,46,2,8,Mxuan-831home,vue
94,vue_cli_online_shop,justborney/vue_cli_online_shop,https://github.com/justborney/vue_cli_online_shop.git,2,0,0,499,2,15,justborney,vue
95,OnlineShopping,antjazldev/OnlineShopping,https://github.com/antjazldev/OnlineShopping.git,1,0,28,3884,2,52,antjazldev,vue
96,vueshop,T882200/vueshop,https://github.com/T882200/vueshop.git,1,0,0,105,2,34,T882200,vue
97,online_shop,iRobbKing/online_shop,https://github.com/iRobbKing/online_shop.git,1,0,0,497,2,19,iRobbKing,vue
98,Online-Shop,Inffinite/Online-Shop,https://github.com/Inffinite/Online-Shop.git,1,1,0,1083,2,46,Inffinite,vue
99,Online-shop,HalShaw/Online-shop,https://github.com/HalShaw/Online-shop.git,1,0,3,605,2,29,HalShaw,vue
100,online-shopping,ALPHA-DEV-MYANMAR/online-shopping,https://github.com/ALPHA-DEV-MYANMAR/online-shopping.git,1,0,0,288,2,35,ALPHA-DEV-MYANMAR,vue
101,online-shop,Rusl10/online-shop,https://github.com/Rusl10/online-shop.git,1,0,0,374,2,29,Rusl10,vue
102,Online-vue-shop,VladKurluk/Online-vue-shop,https://github.com/VladKurluk/Online-vue-shop.git,1,0,0,126,2,29,VladKurluk,vue
103,OnlineShopVueNodeJS,IvanValdesF/OnlineShopVueNodeJS,https://github.com/IvanValdesF/OnlineShopVueNodeJS.git,1,0,0,656,2,0,IvanValdesF,vue
104,Vue-shop,MoiOcanas/Vue-shop,https://github.com/MoiOcanas/Vue-shop.git,1,0,0,225,2,29,MoiOcanas,vue
105,vue-shop,aririfani/vue-shop,https://github.com/aririfani/vue-shop.git,1,0,0,103,2,31,aririfani,vue
106,vue-shopping,gerasem/vue-shopping,https://github.com/gerasem/vue-shopping.git,1,0,0,899,2,27,gerasem,vue
107,Vue---Online-Shop-Imitation,rob-digital/Vue---Online-Shop-Imitation,https://github.com/rob-digital/Vue---Online-Shop-Imitation.git,1,0,0,514,2,14,rob-digital,vue
108,vue-online-shop-frontend,gxhao2020/vue-online-shop-frontend,https://github.com/gxhao2020/vue-online-shop-frontend.git,1,0,0,718,2,20,gxhao2020,vue
109,vue-shop-online,lihui-coder/vue-shop-online,https://github.com/lihui-coder/vue-shop-online.git,1,0,0,114,2,18,lihui-coder,vue
110,vue2-online-shop-taobao,yuminghe/vue2-online-shop-taobao,https://github.com/yuminghe/vue2-online-shop-taobao.git,1,0,0,434,2,6,yuminghe,vue
111,Vue3-PyOnlineShop,lifechat/Vue3-PyOnlineShop,https://github.com/lifechat/Vue3-PyOnlineShop.git,1,0,0,17229,2,23,lifechat,vue
112,Vue-js-vuex-online-shop-,vilmisv/Vue-js-vuex-online-shop-,https://github.com/vilmisv/Vue-js-vuex-online-shop-.git,1,0,0,137,2,0,vilmisv,vue
113,Node_VueJS_Online_Shop,Dennis-Katilov/Node_VueJS_Online_Shop,https://github.com/Dennis-Katilov/Node_VueJS_Online_Shop.git,1,0,0,492,2,0,Dennis-Katilov,vue
114,onlineShoppingMall,zhanghuan570436048/onlineShoppingMall,https://github.com/zhanghuan570436048/onlineShoppingMall.git,2,1,0,652,2,12,zhanghuan570436048,vue
115,tutorial_online_shop,Benqqa/tutorial_online_shop,https://github.com/Benqqa/tutorial_online_shop.git,1,0,0,252,2,38,Benqqa,vue
116,online-shop-app,Keringer91/online-shop-app,https://github.com/Keringer91/online-shop-app.git,1,0,25,3366,2,37,Keringer91,vue
117,Mi-Mock-Online-Shopping,gaoyuan1223m/Mi-Mock-Online-Shopping,https://github.com/gaoyuan1223m/Mi-Mock-Online-Shopping.git,1,1,0,31541,2,34,gaoyuan1223m,vue
118,eshop,tanght19/eshop,https://github.com/tanght19/eshop.git,1,0,0,822,2,30,tanght19,vue
119,vue3-shop-part1,ASVVIZIT/vue3-shop-part1,https://github.com/ASVVIZIT/vue3-shop-part1.git,1,0,0,150,2,44,ASVVIZIT,vue
120,vue-research-shopping,Inesnribeiro/vue-research-shopping,https://github.com/Inesnribeiro/vue-research-shopping.git,1,0,0,347,2,46,Inesnribeiro,vue
121,E-shop-vuejs,Polkagris/E-shop-vuejs,https://github.com/Polkagris/E-shop-vuejs.git,1,0,0,6403,2,42,Polkagris,vue
122,shopping_with_vuejs,AbdullayevDilshodbek/shopping_with_vuejs,https://github.com/AbdullayevDilshodbek/shopping_with_vuejs.git,1,0,0,1048,2,38,AbdullayevDilshodbek,vue
123,fashion-store-vue,Belchenkov/fashion-store-vue,https://github.com/Belchenkov/fashion-store-vue.git,1,0,2,482,2,45,Belchenkov,vue
124,basic-shop-vue,leandropdmolin/basic-shop-vue,https://github.com/leandropdmolin/basic-shop-vue.git,1,0,0,131,2,36,leandropdmolin,vue
125,vue-loja-firebase,diegotpereira/vue-loja-firebase,https://github.com/diegotpereira/vue-loja-firebase.git,1,0,0,1064,2,40,diegotpereira,vue
126,online-shop,jjulianto/online-shop,https://github.com/jjulianto/online-shop.git,1,0,5,2861,2,116,jjulianto,vue
127,Vue_online_shop,bezzyck/Vue_online_shop,https://github.com/bezzyck/Vue_online_shop.git,1,0,0,483,2,22,bezzyck,vue
128,vue-simple-online-shop,dm1tr/vue-simple-online-shop,https://github.com/dm1tr/vue-simple-online-shop.git,2,1,2,179,2,32,dm1tr,vue
129,Vue-Online-Shopping-Mall,0522-coulds/Vue-Online-Shopping-Mall,https://github.com/0522-coulds/Vue-Online-Shopping-Mall.git,2,0,0,5243,2,7,0522-coulds,vue
130,OnlineShopping,Aucdmn/OnlineShopping,https://github.com/Aucdmn/OnlineShopping.git,1,0,0,147,2,26,Aucdmn,vue
131,shopOnline,cvEngineer-hh/shopOnline,https://github.com/cvEngineer-hh/shopOnline.git,1,1,0,392,2,16,cvEngineer-hh,vue
132,vue-online-shop-design,blessed-tawanda/vue-online-shop-design,https://github.com/blessed-tawanda/vue-online-shop-design.git,1,0,22,3159,2,87,blessed-tawanda,vue
133,vue-online-shop-backend,liwei3380/vue-online-shop-backend,https://github.com/liwei3380/vue-online-shop-backend.git,1,0,0,4,2,0,liwei3380,vue
134,online-shop-vue,irinaWinter/online-shop-vue,https://github.com/irinaWinter/online-shop-vue.git,1,0,0,1018,2,108,irinaWinter,vue
135,vue-online-shopping,et20020223/vue-online-shopping,https://github.com/et20020223/vue-online-shopping.git,1,0,0,161,2,0,et20020223,vue
136,vue_online_shop,Svetlana177/vue_online_shop,https://github.com/Svetlana177/vue_online_shop.git,1,0,0,222,2,0,Svetlana177,vue
137,online_shop-vue,theodorerlax/online_shop-vue,https://github.com/theodorerlax/online_shop-vue.git,1,0,0,3542,2,0,theodorerlax,vue
138,vue_online_shop,Anna-Ilina-Vn/vue_online_shop,https://github.com/Anna-Ilina-Vn/vue_online_shop.git,1,0,0,69432,2,34,Anna-Ilina-Vn,vue
139,vue-online-shop,Ic3ShoT/vue-online-shop,https://github.com/Ic3ShoT/vue-online-shop.git,0,0,0,1424,2,0,Ic3ShoT,vue
140,shopivoo,hsturkyilmaz/shopivoo,https://github.com/hsturkyilmaz/shopivoo.git,0,0,0,151,2,41,hsturkyilmaz,vue
141,vue-online-shop,DoubleWoodLin/vue-online-shop,https://github.com/DoubleWoodLin/vue-online-shop.git,1,0,0,2423,2,0,DoubleWoodLin,vue
142,VUEJS_Online-shop,kkarapetyan2012/VUEJS_Online-shop,https://github.com/kkarapetyan2012/VUEJS_Online-shop.git,1,0,15,7433,2,0,kkarapetyan2012,vue
143,vue-online-shop,AndrewProkopenko/vue-online-shop,https://github.com/AndrewProkopenko/vue-online-shop.git,1,0,0,191,2,0,AndrewProkopenko,vue
144,online-shop-VUE,369997/online-shop-VUE,https://github.com/369997/online-shop-VUE.git,1,0,20,5416,2,34,369997,vue
145,vue-online-shop,MojganNasirian/vue-online-shop,https://github.com/MojganNasirian/vue-online-shop.git,1,0,0,152,2,0,MojganNasirian,vue
146,shopbagas,bagasamri/shopbagas,https://github.com/bagasamri/shopbagas.git,1,0,21,610,2,42,bagasamri,vue
147,vue-online-shop,liubrook/vue-online-shop,https://github.com/liubrook/vue-online-shop.git,1,0,0,742,2,24,liubrook,vue
148,vue-online-shop,lmbrjk/vue-online-shop,https://github.com/lmbrjk/vue-online-shop.git,1,0,0,1484,2,0,lmbrjk,vue
149,vue-online-shop-frontend,gandipapa/vue-online-shop-frontend,https://github.com/gandipapa/vue-online-shop-frontend.git,1,0,0,195,2,0,gandipapa,vue
150,vue-online-shop-backend,gxhao2020/vue-online-shop-backend,https://github.com/gxhao2020/vue-online-shop-backend.git,1,0,0,26,2,23,gxhao2020,vue
151,online_shop_vue,Aleksandr1945/online_shop_vue,https://github.com/Aleksandr1945/online_shop_vue.git,1,0,0,419,2,0,Aleksandr1945,vue
152,vue-online-shop-backend,Arrrrray/vue-online-shop-backend,https://github.com/Arrrrray/vue-online-shop-backend.git,1,0,2,39,2,32,Arrrrray,vue
153,best_online_shop_vue,AlexanderBredun/best_online_shop_vue,https://github.com/AlexanderBredun/best_online_shop_vue.git,1,0,0,1797,2,0,AlexanderBredun,vue
154,vue-online-shop-backend,cheneyg916/vue-online-shop-backend,https://github.com/cheneyg916/vue-online-shop-backend.git,1,0,0,4,2,26,cheneyg916,vue
155,vue-online-shop,easonxu0908/vue-online-shop,https://github.com/easonxu0908/vue-online-shop.git,1,0,17,123447,2,0,easonxu0908,vue
156,vue-js-online-shop,Kutloano16/vue-js-online-shop,https://github.com/Kutloano16/vue-js-online-shop.git,1,0,0,26,2,24,Kutloano16,vue
157,vue-online-shop,Dyphellia/vue-online-shop,https://github.com/Dyphellia/vue-online-shop.git,1,0,22,2957,2,0,Dyphellia,vue
158,vue-online-shop,AlexandreCln/vue-online-shop,https://github.com/AlexandreCln/vue-online-shop.git,1,0,0,460,2,53,AlexandreCln,vue
159,online-shop-vue,DaryaUdiryakova/online-shop-vue,https://github.com/DaryaUdiryakova/online-shop-vue.git,1,0,0,1830,2,0,DaryaUdiryakova,vue
160,online-shop-vue-application,tharma-thavam/online-shop-vue-application,https://github.com/tharma-thavam/online-shop-vue-application.git,1,0,0,159,2,0,tharma-thavam,vue
161,online-shop-vue,feihoa/online-shop-vue,https://github.com/feihoa/online-shop-vue.git,1,0,0,1345,2,0,feihoa,vue
162,Vue.js_online_shopping,anatoliy5035/Vue.js_online_shopping,https://github.com/anatoliy5035/Vue.js_online_shopping.git,1,0,0,161,2,0,anatoliy5035,vue
163,Vue-Online-Shop,chenhui996/Vue-Online-Shop,https://github.com/chenhui996/Vue-Online-Shop.git,1,1,21,6277,2,0,chenhui996,vue
164,vue-online-shop,zzzzzjhhhh/vue-online-shop,https://github.com/zzzzzjhhhh/vue-online-shop.git,1,0,17,3725,2,0,zzzzzjhhhh,vue
165,online-shop-vue,PavelKP/online-shop-vue,https://github.com/PavelKP/online-shop-vue.git,1,0,0,3666,2,0,PavelKP,vue
166,Vue-online-shop,JunZhenSun/Vue-online-shop,https://github.com/JunZhenSun/Vue-online-shop.git,1,0,0,3094,2,0,JunZhenSun,vue
167,vue-online-shop,BaxtiyorBohodirov/vue-online-shop,https://github.com/BaxtiyorBohodirov/vue-online-shop.git,1,0,0,137,2,0,BaxtiyorBohodirov,vue
168,vue-online-shop-backend,elysium88/vue-online-shop-backend,https://github.com/elysium88/vue-online-shop-backend.git,1,0,1,21,2,0,elysium88,vue
169,online-shop-vue,maidacencoanastasia/online-shop-vue,https://github.com/maidacencoanastasia/online-shop-vue.git,1,0,0,2496,2,0,maidacencoanastasia,vue
170,vue-online-shop,vitshevtsov/vue-online-shop,https://github.com/vitshevtsov/vue-online-shop.git,1,0,0,3679,2,0,vitshevtsov,vue
171,Online_Shop_Frontend_Vue,Honglin-Lu/Online_Shop_Frontend_Vue,https://github.com/Honglin-Lu/Online_Shop_Frontend_Vue.git,1,0,0,7716,2,116,Honglin-Lu,vue
172,online-shop-vue,YuliaGrineva/online-shop-vue,https://github.com/YuliaGrineva/online-shop-vue.git,0,0,0,416,2,43,YuliaGrineva,vue
173,vue-online-shop,liutkevych/vue-online-shop,https://github.com/liutkevych/vue-online-shop.git,1,0,0,315,2,0,liutkevych,vue
174,vuejs-online-shop,IharDubadzelau/vuejs-online-shop,https://github.com/IharDubadzelau/vuejs-online-shop.git,1,0,23,3591,2,0,IharDubadzelau,vue
175,Vue-online-shop,melhemm/Vue-online-shop,https://github.com/melhemm/Vue-online-shop.git,1,0,0,831,2,0,melhemm,vue
176,learn-vue-online-shop,ItmoSpace/learn-vue-online-shop,https://github.com/ItmoSpace/learn-vue-online-shop.git,1,0,0,214,2,0,ItmoSpace,vue
177,vue-online-shop-frontend,xiaobaihena/vue-online-shop-frontend,https://github.com/xiaobaihena/vue-online-shop-frontend.git,1,0,0,250,2,0,xiaobaihena,vue
178,vue-online-shop-frontend,jay6697117/vue-online-shop-frontend,https://github.com/jay6697117/vue-online-shop-frontend.git,1,0,0,215,2,0,jay6697117,vue
179,online-shop-vue,Shirokuiu/online-shop-vue,https://github.com/Shirokuiu/online-shop-vue.git,1,0,0,4090,2,0,Shirokuiu,vue
180,vue_online_shop,baikhonov/vue_online_shop,https://github.com/baikhonov/vue_online_shop.git,1,0,0,854,2,0,baikhonov,vue
181,my_online_shop_Vue,CatherinaG/my_online_shop_Vue,https://github.com/CatherinaG/my_online_shop_Vue.git,1,0,0,1911,2,0,CatherinaG,vue
182,vue-online-shop,af4n/vue-online-shop,https://github.com/af4n/vue-online-shop.git,1,0,0,758,2,0,af4n,vue
183,vue-online-shop,valeriilogvin/vue-online-shop,https://github.com/valeriilogvin/vue-online-shop.git,1,0,0,211,2,0,valeriilogvin,vue
